,isin,nse_symbol,nse_series,bse_sc_code,SC_NAME,bse_sc_group,bse_sc_type,yf_nse_symbol
0,INE144J01027,20MICRONS,EQ,533022,20 MICRONS,B,Q,20MICRONS.NS
1,INE253B01015,21STCENMGM,EQ,526921,21ST CEN.MGM,B,Q,NOT_FOUND_ERROR
2,INE748C01020,3IINFOTECH,EQ,532628,3I INFOTECH,B,Q,NOT_FOUND_ERROR
3,INE470A01017,3MINDIA,EQ,523395,3M INDIA LTD,A,Q,NOT_FOUND_ERROR
4,INE105C01023,3PLAND,EQ,516092,3PLAND,B,Q,NOT_FOUND_ERROR
5,INE618L01018,5PAISA,EQ,540776,5PAISA,B,Q,5PAISA.NS
6,IN0020190099,617GS2021,GS,,,,,NOT_FOUND_ERROR
7,IN0020200245,622GS2035,GS,,,,,NOT_FOUND_ERROR
8,INE111B01023,63MOONS,EQ,526881,63MOONS,B,Q,NOT_FOUND_ERROR
9,IN0020200187,68GS2060,GS,,,,,NOT_FOUND_ERROR
10,IN0020200054,716GS2050,GS,,,,,NOT_FOUND_ERROR
11,IN0020190024,762GS2039,GS,,,,,NOT_FOUND_ERROR
12,INE619I01012,A2ZINFRA,EQ,533292,A2ZINFRA,B,Q,NOT_FOUND_ERROR
13,INE087Z01016,AAKASH,BE,,,,,NOT_FOUND_ERROR
14,INE721Z01010,AARON,EQ,,,,,NOT_FOUND_ERROR
15,INE767A01016,AARTIDRUGS,EQ,524348,AARTI DRUGS,A,Q,AARTIDRUGS.NS
16,INE769A01020,AARTIIND,EQ,524208,AARTI INDUST,A,Q,NOT_FOUND_ERROR
17,INE09EO01013,AARTISURF,EQ,543210,AARTISURF,B,Q,NOT_FOUND_ERROR
18,INE273D01019,AARVEEDEN,EQ,514274,AARVEE DENIM,B,Q,AARVEEDEN.NS
19,INE754X01016,AARVI,EQ,,,,,NOT_FOUND_ERROR
20,INE216P01012,AAVAS,EQ,541988,AAVAS,A,Q,AAVAS.NS
21,INE421A01028,ABAN,EQ,523204,ABAN OFFSHO,B,Q,NOT_FOUND_ERROR
22,INE117A01022,ABB,EQ,500002,ABB LTD.,A,Q,NOT_FOUND_ERROR
23,INE358A01014,ABBOTINDIA,EQ,500488,ABBOTT (I),A,Q,NOT_FOUND_ERROR
24,INE674K01013,ABCAPITAL,EQ,540691,ABCAPITAL,A,Q,NOT_FOUND_ERROR
25,INE647O01011,ABFRL,EQ,535755,ABFRL,A,Q,NOT_FOUND_ERROR
26,IN9647O01027,ABFRLPP1,E1,890148,ABFRLPP,A,Q,NOT_FOUND_ERROR
27,INE251C01017,ABMINTLTD,EQ,,,,,NOT_FOUND_ERROR
28,INF209KB1O58,ABSLBANETF,EQ,542863,ABSLBANETF,B,Q,NOT_FOUND_ERROR
29,INF209KB1B87,ABSLNN50ET,EQ,542230,ABSLNN50ET,B,Q,NOT_FOUND_ERROR
30,INF209KB1LL4,ABSLRIF6RG,MF,541092,ABSLRIF6RG,B,Q,NOT_FOUND_ERROR
31,INE012A01025,ACC,EQ,500410,ACC LTD,A,Q,NOT_FOUND_ERROR
32,INE793A01012,ACCELYA,EQ,532268,ACCELYA,A,Q,ACCELYA.NS
33,INE113X01015,ACCORD,SM,,,,,NOT_FOUND_ERROR
34,INE648Z01015,ACCURACY,EQ,,,,,NOT_FOUND_ERROR
35,INE731H01025,ACE,EQ,532762,ACTION CONST,A,Q,ACE.NS
36,INE482D01024,ACRYSIL,EQ,524091,ACRYCIL LTD.,B,Q,NOT_FOUND_ERROR
37,INE423A01024,ADANIENT,EQ,512599,ADANI ENTER,A,Q,ADANIENT.NS
38,INE364U01010,ADANIGREEN,EQ,541450,ADANIGREEN,A,Q,ADANIGREEN.NS
39,INE742F01042,ADANIPORTS,EQ,532921,ADANI PORTS,A,Q,NOT_FOUND_ERROR
40,INE814H01011,ADANIPOWER,EQ,533096,ADANI POWER,A,Q,NOT_FOUND_ERROR
41,INE931S01010,ADANITRANS,EQ,539254,ADANITRANS,A,Q,NOT_FOUND_ERROR
42,INE982B01019,ADFFOODS,EQ,519183,ADF FOODS LT,A,Q,NOT_FOUND_ERROR
43,INE452L01012,ADHUNIKIND,EQ,538365,ADHUNIKIND,B,Q,NOT_FOUND_ERROR
44,INE0CHO01012,ADL,BE,543231,ADL,T,Q,NOT_FOUND_ERROR
45,INE045A01017,ADORWELD,EQ,517041,ADORWELDING,B,Q,NOT_FOUND_ERROR
46,INE737B01033,ADROITINFO,BE,,,,,NOT_FOUND_ERROR
47,INE102I01027,ADSL,EQ,532875,ALLIED DIGIT,B,Q,NOT_FOUND_ERROR
48,INE199C01026,ADVANIHOTR,EQ,523269,ADVANI HOTEL,B,Q,ADVANIHOTR.NS
49,INE837H01020,ADVENZYMES,EQ,540025,ADVENZYMES,A,Q,ADVENZYMES.NS
50,INE208C01025,AEGISCHEM,EQ,500003,AEGIS LOGIS,A,Q,NOT_FOUND_ERROR
51,INE00WC01019,AFFLE,EQ,542752,AFFLE,A,Q,NOT_FOUND_ERROR
52,INE204E01012,AGARIND,BE,531921,AGAR IND COR,T,Q,NOT_FOUND_ERROR
53,INE676A01019,AGCNET,EQ,500463,AGCNET,B,Q,NOT_FOUND_ERROR
54,INE449G01018,AGRITECH,EQ,537292,AGRI TECH,B,Q,AGRITECH.NS
55,INE740V01019,AGROPHOS,EQ,,,,,NOT_FOUND_ERROR
56,INE00PV01013,AHLADA,EQ,,,,,NOT_FOUND_ERROR
