SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1420.95,1425.00,1393.00,1397.25,1397.25,1417.40,920,5140,7217095.00,,INE117A01022,01-Apr-21,,
500003,AEGIS LOGIS ,A ,Q,303.05,308.70,292.65,301.25,301.25,297.75,707,17547,5288039.00,,INE208C01025,01-Apr-21,,
500008,AMAR RAJA BA,A ,Q,867.00,867.00,856.00,859.95,859.95,853.50,447,8515,7322259.00,,INE885A01032,01-Apr-21,,
500009,A.SARABHAI  ,X ,Q,18.15,18.15,17.50,17.80,17.80,17.65,151,35908,641223.00,,INE432A01017,01-Apr-21,,
500010,HDFC        ,A ,Q,2524.00,2538.00,2480.45,2530.95,2530.95,2498.95,9795,151856,381409863.00,,INE001A01036,01-Apr-21,,
500012,ANDHRA PETRO,X ,Q,62.80,64.80,59.20,64.05,64.05,61.75,826,185595,11627934.00,,INE714B01016,01-Apr-21,,
500013,ANSAL INFRAS,B ,Q,6.05,6.11,6.05,6.11,6.11,5.87,10,4250,25952.00,,INE436A01026,01-Apr-21,,
500014,UTIQUE      ,X ,Q,1.74,1.75,1.74,1.74,1.74,1.83,16,6312,10989.00,,INE096A01010,01-Apr-21,,
500020,BOM DYEING  ,A ,Q,71.35,73.50,70.75,73.40,73.40,70.15,1696,292526,21222522.00,,INE032A01023,01-Apr-21,,
500023,ASIANHOTNR  ,B ,Q,61.00,61.00,60.50,60.70,60.70,60.50,3,7,424.00,,INE363A01022,01-Apr-21,,
500027,ATUL LTD.   ,A ,Q,7080.00,7450.00,7062.00,7404.05,7404.05,7075.85,732,1955,14311126.00,,INE100A01010,01-Apr-21,,
500028,ATV PROJECTS,XT,Q,4.14,4.31,4.14,4.24,4.27,4.14,14,5252,22058.00,,INE447A01015,01-Apr-21,,
500031,BAJAJ ELECT.,A ,Q,990.00,999.55,975.65,990.45,990.45,977.40,1101,5914,5840506.00,,INE193E01025,01-Apr-21,,
500032,BAJAJHIND   ,A ,Q,6.30,6.54,6.30,6.43,6.43,6.19,2989,764417,4884654.00,,INE306A01021,01-Apr-21,,
500033,FORCE MOTR  ,A ,Q,1170.00,1220.35,1170.00,1198.80,1206.75,1169.55,359,1739,2075638.00,,INE451A01017,01-Apr-21,,
500034,BAJFINANCE  ,A ,Q,5216.00,5285.00,5162.10,5270.00,5270.00,5148.90,5163,63755,332456150.00,,INE296A01024,01-Apr-21,,
500038,BALRAM.CHINI,A ,Q,220.60,220.60,213.00,214.00,214.00,214.50,1906,151882,32785484.00,,INE119A01028,01-Apr-21,,
500039,BANCO PROD. ,B ,Q,141.60,148.00,141.25,147.75,147.35,140.60,319,8505,1240955.00,,INE213C01025,01-Apr-21,,
500040,CENTURY TEXT,A ,Q,466.00,471.00,455.60,458.65,458.65,464.70,943,26517,12261557.00,,INE055A01016,01-Apr-21,,
500041,BANNARI AMAN,A ,Q,1615.25,1685.00,1615.25,1647.00,1647.00,1570.00,26,49,80319.00,,INE459A01010,01-Apr-21,,
