SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,35.4,35.9,34.5,35.4,35.7,35.15,33682,1184170.85,01-APR-2021,384,INE144J01027,
21STCENMGM,EQ,13.7,13.7,13.7,13.7,13.7,13.95,3915,53635.5,01-APR-2021,11,INE253B01015,
3IINFOTECH,EQ,7.8,7.8,7.8,7.8,7.8,7.45,1675589,13069594.2,01-APR-2021,1327,INE748C01020,
3MINDIA,EQ,30265,31000,29400,29602.95,29510.7,30436.65,8475,256760867.8,01-APR-2021,3996,INE470A01017,
3PLAND,EQ,8.8,9.1,8.5,8.9,8.65,8.6,3243,28953.6,01-APR-2021,25,INE105C01023,
5PAISA,EQ,252.5,268.5,252,260.6,267.95,249.7,24901,6403723.7,01-APR-2021,527,INE618L01018,
617GS2021,GS,84.87,84.87,84.87,84.87,84.87,89.27,5,424.35,01-APR-2021,1,IN0020190099,
622GS2035,GS,94.99,94.99,94,94,94,94.99,1629,153372.57,01-APR-2021,9,IN0020200245,
63MOONS,EQ,69.4,72.7,69.4,72,71.8,69.35,31204,2223691.2,01-APR-2021,725,INE111B01023,
68GS2060,GS,102,106.9,102,106.9,106.9,102.05,2020,210940,01-APR-2021,2,IN0020200187,
716GS2050,GS,110,110,110,110,110,110,100,11000,01-APR-2021,1,IN0020200054,
762GS2039,GS,110,110,110,110,110,110,220,24200,01-APR-2021,4,IN0020190024,
A2ZINFRA,EQ,3.85,3.95,3.75,3.8,3.75,3.75,845562,3270699.9,01-APR-2021,453,INE619I01012,
AAKASH,BE,127,131,127,130.9,130.9,130,30907,3982218.15,01-APR-2021,85,INE087Z01016,
AARON,EQ,57.5,58.45,55.6,57.8,58.2,57.2,1166,66950.15,01-APR-2021,50,INE721Z01010,
AARTIDRUGS,EQ,698,726,696.05,718.65,717.9,694.3,786666,562841374.45,01-APR-2021,27650,INE767A01016,
AARTIIND,EQ,1330,1390,1315,1363.8,1364.9,1317.45,613919,837656028.2,01-APR-2021,25055,INE769A01020,
AARTISURF,EQ,943,977.7,928,977.7,977.7,931.15,10230,9675046.95,01-APR-2021,1487,INE09EO01013,
AARVEEDEN,EQ,17.9,18.45,17.5,17.85,18.3,17.5,5345,95676.9,01-APR-2021,70,INE273D01019,
AARVI,EQ,54,54.4,49,50.75,50.75,51.7,11049,563402.1,01-APR-2021,155,INE754X01016,
AAVAS,EQ,2460,2519,2365.5,2418,2415,2420.85,53783,130754768.1,01-APR-2021,9623,INE216P01012,
ABAN,EQ,30,30.9,29.6,30.9,30.9,29.45,79217,2412400.45,01-APR-2021,654,INE421A01028,
ABB,EQ,1413.8,1424.7,1391.1,1397.5,1398,1410.05,80643,113129784.1,01-APR-2021,8856,INE117A01022,
ABBOTINDIA,EQ,15000,15160.05,14901,14980.05,14936,14983.3,21203,318548634.35,01-APR-2021,5678,INE358A01014,
ABCAPITAL,EQ,120.05,123,120.05,121.55,121.5,119.3,2429443,294936029.6,01-APR-2021,26945,INE674K01013,
ABFRL,EQ,203.6,207,197.55,198.95,198.65,201.25,2452891,494933412.9,01-APR-2021,42353,INE647O01011,
ABFRLPP1,E1,167,173.65,167,167.75,171,168.9,1750,297911.55,01-APR-2021,83,IN9647O01027,
ABMINTLTD,EQ,55.2,57.75,55.15,56.95,56.95,58.05,391,22014.25,01-APR-2021,19,INE251C01017,
ABSLBANETF,EQ,336.2,339.22,330.85,336.46,339.22,332.14,36,12005.89,01-APR-2021,20,INF209KB1O58,
ABSLNN50ET,EQ,344,357,336.1,347.4,350,335.08,107,37008.82,01-APR-2021,41,INF209KB1B87,
ABSLRIF6RG,MF,8.38,8.38,8.38,8.38,8.38,8.36,1000,8380,01-APR-2021,1,INF209KB1LL4,
ACC,EQ,1920,1920,1886.95,1913.35,1912,1903.25,765296,1458398961.95,01-APR-2021,29559,INE012A01025,
ACCELYA,EQ,859,880,851.95,874.8,879.9,854.9,1767,1535614.65,01-APR-2021,237,INE793A01012,
ACCORD,SM,17.1,17.1,17.1,17.1,17.1,18,4000,68400,01-APR-2021,2,INE113X01015,
ACCURACY,EQ,52.5,52.55,50.7,52.5,52.55,50.05,4709,246359.6,01-APR-2021,47,INE648Z01015,
ACE,EQ,158,163.9,156.05,161.05,161,154.35,303672,48901811.6,01-APR-2021,4381,INE731H01025,
ACRYSIL,EQ,317.9,323.25,317.9,323.25,323.25,307.9,39849,12844282.05,01-APR-2021,419,INE482D01024,
ADANIENT,EQ,1043.4,1116.05,1035,1107.2,1104.65,1031.15,12713083,13756203233.75,01-APR-2021,216541,INE423A01024,
ADANIGREEN,EQ,1104.9,1160.05,1104.9,1160.05,1160.05,1104.85,523216,600219998.95,01-APR-2021,24357,INE364U01010,
ADANIPORTS,EQ,713.5,742,705,736.25,733.55,702.4,15017049,10897578397.8,01-APR-2021,166679,INE742F01042,
ADANIPOWER,EQ,83.2,89.3,81.35,89.3,89.3,85.05,43478357,3737223024.5,01-APR-2021,110148,INE814H01011,
ADANITRANS,EQ,923,999.2,917.05,999.2,999.2,908.4,2213099,2145404752.25,01-APR-2021,49816,INE931S01010,
ADFFOODS,EQ,901.9,960,899.75,925.95,924.95,893.55,138075,129595863.35,01-APR-2021,6651,INE982B01019,
ADHUNIKIND,EQ,19.5,20.95,19.1,20.95,20.95,19.05,37870,762789.25,01-APR-2021,204,INE452L01012,
ADL,BE,29.25,29.25,28,28.75,28.75,28.1,4144,118665.7,01-APR-2021,19,INE0CHO01012,
ADORWELD,EQ,304,317.3,301,312.7,314.4,300.7,24562,7550333.2,01-APR-2021,639,INE045A01017,
ADROITINFO,BE,9.05,9.1,8.3,9.1,9.1,8.7,3835,33339.8,01-APR-2021,15,INE737B01033,
ADSL,EQ,43.2,45.8,43.2,45.8,45.8,43.65,105582,4745186.1,01-APR-2021,861,INE102I01027,
ADVANIHOTR,EQ,56.85,59.65,56.45,58.6,58.4,56.85,9095,538442.4,01-APR-2021,122,INE199C01026,
ADVENZYMES,EQ,347.8,360.45,347.8,353.1,353.1,344.95,156303,55422865.6,01-APR-2021,4511,INE837H01020,
AEGISCHEM,EQ,303,308.9,291.3,301.25,304.75,298.65,299812,90264888.15,01-APR-2021,14305,INE208C01025,
AFFLE,EQ,5520,5714.6,5465,5602.3,5611,5457.8,89364,500131950.7,01-APR-2021,20457,INE00WC01019,
AGARIND,BE,152.25,162.95,152.25,158.75,159.9,158.8,6800,1079286.05,01-APR-2021,75,INE204E01012,
AGCNET,EQ,1330,1355.4,1330,1355.4,1355.4,1290.9,5455,7376905.65,01-APR-2021,146,INE676A01019,
AGRITECH,EQ,30.75,32.2,30.7,31.85,31.75,30.85,3330,105256.3,01-APR-2021,90,INE449G01018,
AGROPHOS,EQ,11.7,12.25,11.7,12.25,12.2,11.7,35048,424964.95,01-APR-2021,170,INE740V01019,
AHLADA,EQ,92.2,96.05,92.2,96.05,96.05,91.5,2572,243026.25,01-APR-2021,54,INE00PV01013,
AHLEAST,EQ,158.6,161.8,155.5,160,161.5,157,1635,258011.45,01-APR-2021,114,INE926K01017,
AHLUCONT,EQ,300.75,308,300.75,302.25,303.7,299.2,6638,2019761,01-APR-2021,664,INE758C01029,
AHLWEST,EQ,225.25,269.95,214.05,246,245,225.4,30599,7527258.75,01-APR-2021,894,INE915K01010,
