Date,^GSPC,^IXIC,^GDAXI,^FTSE
1996-12-31,740.73999,1291.030029,,4118.5
1997-01-02,737.01001,1280.699951,2820.810059,4057.399902
1997-01-03,748.030029,1310.680054,2863.26001,4089.5
1997-01-06,747.650024,1316.400024,2890.199951,4106.5
1997-01-07,753.22998,1327.72998,2876.340088,4078.800049
1997-01-08,748.409973,1320.349976,2904.080078,4087.5
1997-01-09,754.849976,1326.199951,2936.689941,4087.0
1997-01-10,759.5,1332.02002,2915.810059,4056.600098
1997-01-13,759.51001,1330.910034,2956.780029,4107.299805
1997-01-14,768.859985,1346.359985,2978.840088,4168.200195
1997-01-15,767.200012,1333.530029,2976.560059,4158.899902
1997-01-16,769.75,1340.459961,2996.120117,4197.5
1997-01-17,776.169983,1349.050049,3006.870117,4207.700195
1997-01-20,776.700012,1364.280029,2999.189941,4194.0
1997-01-21,782.719971,1376.969971,3000.659912,4195.5
1997-01-22,786.22998,1388.060059,3026.629883,4219.100098
1997-01-23,777.559998,1378.369995,3037.280029,4271.5
1997-01-24,770.52002,1363.829956,2982.629883,4218.799805
1997-01-27,765.02002,1352.810059,2992.550049,4212.0
1997-01-28,765.02002,1354.369995,3028.27002,4237.399902
1997-01-29,772.5,1355.170044,2997.949951,4207.5
1997-01-30,784.169983,1371.02002,3018.580078,4228.399902
1997-01-31,786.159973,1379.849976,3037.699951,4275.799805
1997-02-03,786.72998,1376.050049,3064.699951,4257.799805
1997-02-04,789.26001,1373.75,3067.47998,4260.899902
1997-02-05,778.280029,1348.439941,3114.72998,4281.5
1997-02-06,780.150024,1346.400024,3124.780029,4265.899902
1997-02-07,789.559998,1357.709961,3161.360107,4307.799805
1997-02-10,785.429993,1335.339966,3185.719971,4307.700195
1997-02-11,789.590027,1331.51001,3191.449951,4304.299805
1997-02-12,802.77002,1358.959961,3211.01001,4304.299805
1997-02-13,811.820007,1370.810059,3256.860107,4327.100098
1997-02-14,808.47998,1367.189941,3249.169922,4341.0
1997-02-18,816.289978,1365.790039,3230.830078,4332.299805
1997-02-19,812.48999,1365.579956,3209.040039,4357.399902
1997-02-20,802.799988,1347.400024,3197.090088,4356.100098
1997-02-21,801.77002,1334.319946,3203.790039,4336.799805
1997-02-24,810.280029,1345.079956,3180.629883,4331.100098
1997-02-25,812.030029,1347.689941,3233.340088,4344.700195
1997-02-26,805.679993,1340.550049,3245.02002,4329.299805
1997-02-27,795.070007,1312.660034,3272.580078,4339.200195
1997-02-28,790.820007,1309.0,3261.040039,4308.299805
1997-03-03,795.309998,1311.180054,3258.73999,4307.100098
