Date,PG,^GSPC,^DJI
2007-01-03,46.849339,1416.599976,12474.519531
2007-01-04,46.493664,1418.339966,12480.69043
2007-01-05,46.094406,1409.709961,12398.009766
2007-01-08,46.196045,1412.839966,12423.490234
2007-01-09,46.079914,1412.109985,12416.599609
2007-01-10,46.631596,1414.849976,12442.160156
2007-01-11,46.92194,1423.819946,12514.980469
2007-01-12,47.183273,1430.72998,12556.080078
2007-01-16,47.183273,1431.900024,12582.589844
2007-01-17,47.671959,1430.619995,12577.150391
2007-01-18,47.803234,1426.369995,12567.929688
2007-01-19,48.204388,1430.5,12565.530273
2007-01-22,47.934513,1422.949951,12477.160156
2007-01-23,47.876171,1427.98999,12533.799805
2007-01-24,47.781353,1440.130005,12621.769531
2007-01-25,47.351017,1423.900024,12502.55957
2007-01-26,47.307255,1422.180054,12487.019531
2007-01-29,47.321846,1420.619995,12490.780273
2007-01-30,47.110332,1428.819946,12523.30957
2007-01-31,47.314545,1438.23999,12621.69043
2007-02-01,47.657349,1445.939941,12673.679688
2007-02-02,47.657349,1448.390015,12653.490234
2007-02-05,47.518784,1446.98999,12661.740234
2007-02-06,47.110332,1448.0,12666.30957
2007-02-07,47.030094,1450.02002,12666.870117
2007-02-08,47.110332,1448.310059,12637.629883
2007-02-09,46.993633,1438.060059,12580.830078
2007-02-12,46.796696,1433.369995,12552.549805
2007-02-13,47.197849,1444.26001,12654.849609
2007-02-14,47.321846,1455.300049,12741.860352
2007-02-15,47.402065,1456.810059,12765.009766
2007-02-16,47.460426,1455.540039,12767.570313
2007-02-20,47.321846,1459.680054,12786.639648
2007-02-21,47.183273,1457.630005,12738.410156
2007-02-22,47.197849,1456.380005,12686.019531
2007-02-23,47.278088,1451.189941,12647.480469
2007-02-26,47.000916,1449.369995,12632.259766
2007-02-27,44.67421,1399.040039,12216.240234
2007-02-28,46.308002,1406.819946,12268.629883
2007-03-01,46.446594,1403.170044,12234.339844
2007-03-02,46.067329,1387.170044,12114.099609
2007-03-05,45.797451,1374.119995,12050.410156
2007-03-06,45.906857,1395.410034,12207.589844
2007-03-07,45.279591,1391.969971,12192.450195
2007-03-08,45.447346,1401.890015,12260.700195
2007-03-09,45.337936,1402.839966,12276.320313
2007-03-12,45.286888,1406.599976,12318.620117
2007-03-13,44.615868,1377.949951,12075.959961
2007-03-14,44.754452,1387.170044,12133.400391
2007-03-15,45.155602,1392.280029,12159.679688
2007-03-16,44.936779,1386.949951,12110.410156
2007-03-19,45.20665,1402.060059,12226.169922
2007-03-20,45.425465,1410.939941,12288.099609
2007-03-21,45.921436,1435.040039,12447.519531
2007-03-22,46.57058,1434.540039,12461.139648
2007-03-23,46.534115,1436.109985,12481.009766
2007-03-26,46.607059,1437.5,12469.070313
2007-03-27,46.147549,1428.609985,12397.290039
2007-03-28,45.957909,1417.22998,12300.360352
2007-03-29,46.140251,1422.530029,12348.75
2007-03-30,46.067329,1420.859985,12354.349609
2007-04-02,45.965206,1424.550049,12382.299805
2007-04-03,45.877678,1437.77002,12510.299805
2007-04-04,45.987095,1439.369995,12530.049805
2007-04-05,45.950626,1443.76001,12560.200195
2007-04-09,46.140251,1444.609985,12569.139648
2007-04-10,46.103786,1448.390015,12573.849609
2007-04-11,45.979786,1438.869995,12484.620117
2007-04-12,46.329906,1447.800049,12552.959961
2007-04-13,46.227776,1452.849976,12612.129883
2007-04-16,46.483055,1468.329956,12720.459961
2007-04-17,46.607059,1471.47998,12773.040039
2007-04-18,46.504944,1472.5,12803.839844
2007-04-19,46.40284,1470.72998,12808.629883
2007-04-20,46.534115,1484.349976,12961.980469
2007-04-23,46.410126,1480.930054,12919.400391
2007-04-24,46.483055,1480.410034,12953.94043
2007-04-25,46.593071,1495.420044,13089.889648
2007-04-26,46.197037,1494.25,13105.5
2007-04-27,46.189705,1494.069946,13120.94043
2007-04-30,47.23114,1482.369995,13062.910156
2007-05-01,46.175026,1486.300049,13136.139648
2007-05-02,45.742325,1495.920044,13211.879883
2007-05-03,45.470963,1502.390015,13241.379883
2007-05-04,45.771652,1505.619995,13264.620117
2007-05-07,45.602978,1509.47998,13312.969727
2007-05-08,45.287613,1507.719971,13309.070313
2007-05-09,45.478294,1512.579956,13362.870117
2007-05-10,45.096931,1491.469971,13215.129883
