SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1389.00,1398.00,1352.80,1393.45,1387.00,1382.75,1669,20428,28288582.00,,INE117A01022,03-May-21,,
500003,AEGIS LOGIS ,A ,Q,310.00,316.50,303.35,313.00,313.00,304.10,856,17808,5511359.00,,INE208C01025,03-May-21,,
500008,AMAR RAJA BA,A ,Q,790.70,790.70,759.05,782.45,782.45,810.70,3758,85711,66480635.00,,INE885A01032,03-May-21,,
500009,A.SARABHAI  ,X ,Q,27.75,27.75,25.50,26.60,26.60,26.75,537,196273,5209399.00,,INE432A01017,03-May-21,,
500010,HDFC        ,A ,Q,2369.80,2432.15,2365.20,2419.00,2419.00,2420.15,12410,140080,336260733.00,,INE001A01036,03-May-21,,
500012,ANDHRA PETRO,X ,Q,62.60,65.85,62.60,65.40,65.45,64.15,786,249405,16175035.00,,INE714B01016,03-May-21,,
500013,ANSAL INFRAS,B ,Q,6.00,6.01,5.80,5.89,5.89,5.96,26,11056,65127.00,,INE436A01026,03-May-21,,
500014,UTIQUE      ,X ,Q,2.69,2.69,2.56,2.56,2.56,2.69,12,2869,7354.00,,INE096A01010,03-May-21,,
500016,ARUNAHTEL   ,XT,Q,6.87,6.87,6.87,6.87,6.87,6.62,3,355,2438.00,,INE957C01019,03-May-21,,
500020,BOM DYEING  ,A ,Q,65.40,67.85,65.10,67.35,67.35,66.20,1155,215771,14445875.00,,INE032A01023,03-May-21,,
500023,ASIANHOTNR  ,B ,Q,65.60,67.35,64.00,65.60,65.30,67.75,39,1757,114094.00,,INE363A01022,03-May-21,,
500027,ATUL LTD.   ,A ,Q,8100.00,8226.95,7980.25,8146.85,8109.00,8087.85,442,1150,9370478.00,,INE100A01010,03-May-21,,
500028,ATV PROJECTS,XT,Q,4.47,4.50,4.25,4.26,4.49,4.47,23,6479,28124.00,,INE447A01015,03-May-21,,
500029,AUTOLITE(I) ,Z ,Q,23.80,23.80,23.80,23.80,23.80,25.05,4,141,3355.00,,INE448A01013,03-May-21,,
500031,BAJAJ ELECT.,A ,Q,1153.00,1199.00,1125.70,1189.10,1186.95,1148.35,606,5738,6743991.00,,INE193E01025,03-May-21,,
500032,BAJAJHIND   ,A ,Q,7.18,8.72,7.10,8.72,8.72,7.27,6925,9237092,76775661.00,,INE306A01021,03-May-21,,
500033,FORCE MOTR  ,A ,Q,1117.00,1141.35,1108.20,1119.20,1118.00,1114.90,592,4263,4780940.00,,INE451A01017,03-May-21,,
500034,BAJFINANCE  ,A ,Q,5325.00,5598.50,5291.90,5552.95,5552.95,5453.80,22790,214026,1167185684.00,,INE296A01024,03-May-21,,
500038,BALRAM.CHINI,A ,Q,279.15,330.00,276.95,323.80,323.80,278.35,10749,765899,235003356.00,,INE119A01028,03-May-21,,
