SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
1018GS2026,GS,86,87,86,87,87,89.83,300,25900,03-MAY-2021,4,IN0020010081,
20MICRONS,EQ,38.1,40.1,37.9,39.4,39.35,38.2,192281,7564639.5,03-MAY-2021,1310,INE144J01027,
21STCENMGM,EQ,12.15,12.2,11.9,12.15,11.95,12,541,6532,03-MAY-2021,27,INE253B01015,
3IINFOTECH,EQ,8,8.3,7.7,8.3,8.3,7.95,35389913,285256950.5,03-MAY-2021,18700,INE748C01020,
3MINDIA,EQ,25500,26185.25,25283.1,26030.05,26110,25537.95,1707,44023541.45,03-MAY-2021,1227,INE470A01017,
3PLAND,EQ,10.5,10.8,10.05,10.35,10.45,10.25,10081,105034.75,03-MAY-2021,143,INE105C01023,
448GS2023,GS,96.5,96.5,96.4,96.5,96.5,91.99,103,9939.3,03-MAY-2021,4,IN0020200211,
5PAISA,EQ,347,368.95,340,342.3,343.75,354.75,81581,28388821.3,03-MAY-2021,2447,INE618L01018,
63MOONS,BE,84.4,88.9,83.1,88.15,87.5,85.05,68574,5923695.95,03-MAY-2021,665,INE111B01023,
645GS2029,GS,100.8,100.8,100.8,100.8,100.8,100.8,3,302.4,03-MAY-2021,1,IN0020190362,
716GS2050,GS,112.5,112.5,112,112,112,112,18,2016.5,03-MAY-2021,4,IN0020200054,
719GS2060,GS,117,117,114,114,114,112,457,52101,03-MAY-2021,5,IN0020200039,
757GS2033,GS,108.05,108.05,108.05,108.05,108.05,105.5,1900,205295,03-MAY-2021,2,IN0020190065,
762GS2039,GS,113.59,113.59,113.59,113.59,113.59,113.59,5,567.95,03-MAY-2021,1,IN0020190024,
772GS2049,GS,120,120,120,120,120,120,17,2040,03-MAY-2021,4,IN0020190032,
A2ZINFRA,EQ,3.7,4.25,3.65,4.15,4.2,3.65,3946496,16060638.45,03-MAY-2021,1719,INE619I01012,
AAKASH,EQ,141.6,146,139.7,143.4,139.7,144.45,35865,5157311.35,03-MAY-2021,828,INE087Z01016,
AARON,EQ,54.45,54.45,51.7,52.95,53.2,51.45,1255,66295.35,03-MAY-2021,76,INE721Z01010,
AARTIDRUGS,EQ,706.1,727,706.1,719.35,720,709.95,328624,236528098.4,03-MAY-2021,10977,INE767A01016,
AARTIIND,EQ,1600,1654.45,1595.8,1643.25,1644.7,1604.85,542374,885460055.3,03-MAY-2021,31696,INE769A01020,
AARTISURF,EQ,1443,1490,1416.05,1450.95,1450,1464.35,10316,14980315.65,03-MAY-2021,1302,INE09EO01013,
AARVEEDEN,BE,20.45,20.6,19.8,20.05,20.6,19.8,6964,140357.35,03-MAY-2021,49,INE273D01019,
AARVI,EQ,49.1,49.2,48.05,48.55,49,48.2,7613,370121.85,03-MAY-2021,102,INE754X01016,
AAVAS,EQ,2257,2290,2240.05,2284.45,2280,2274.65,31189,70891853.3,03-MAY-2021,4332,INE216P01012,
ABAN,EQ,31,32.4,30.6,32.15,32.25,31.3,158093,5039694.9,03-MAY-2021,1420,INE421A01028,
ABB,EQ,1385.6,1399,1352.05,1392,1389,1381.25,163384,226961133.5,03-MAY-2021,22045,INE117A01022,
ABBOTINDIA,EQ,15150,15272.55,15003,15169.2,15179.5,15151.75,6780,102682789.35,03-MAY-2021,2586,INE358A01014,
ABCAPITAL,EQ,114,116.4,113,114.85,115.2,114.55,1998811,229480305.05,03-MAY-2021,13447,INE674K01013,
ABFRL,EQ,175,181.4,173.5,179.35,180.5,175,1958444,349098515.95,03-MAY-2021,19203,INE647O01011,
ABFRLPP1,E1,145,148,135.2,145,147,145.25,3748,537608.6,03-MAY-2021,165,IN9647O01027,
ABMINTLTD,EQ,48,50.05,47.75,50,50,47.7,2902,144357.85,03-MAY-2021,38,INE251C01017,
ABSLBANETF,EQ,325.95,325.95,317.95,322.09,322.3,326.89,175,56195.88,03-MAY-2021,49,INF209KB1O58,
ABSLNN50ET,EQ,350.1,357.99,350.1,354,354,352.85,255,90431.65,03-MAY-2021,18,INF209KB1B87,
ABSLRIF6RG,MF,8.41,8.6,8.41,8.48,8.48,8.79,25123,213370.74,03-MAY-2021,8,INF209KB1LL4,
ACC,EQ,1860,1904.9,1853.2,1898,1899,1882.75,501054,945224321.8,03-MAY-2021,20197,INE012A01025,
