Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
936963,0ECL21      ,1101.00,1101.00,1101.00,1101.00,25.00,1,27525.00,INE804IA7188,1000.00,,
937079,0EFIL21     ,1103.40,1106.00,1098.00,1106.00,369.00,19,407174.00,INE918K07FO1,1000.00,,
937493,0EFSL24A    ,951.00,951.00,951.00,951.00,1.00,1,951.00,INE532F07BW2,1000.00,,29/04/2024
936218,0JMFCSL21   ,1294.00,1294.00,1287.00,1287.00,213.00,5,274931.00,INE651J07598,1000.00,,
936698,0JMFPL21AA  ,1203.00,1203.00,1201.00,1201.00,130.00,4,156230.00,INE523H07AH0,1000.00,,
936702,0JMFPL22A   ,1210.00,1210.00,1210.00,1210.00,20.00,1,24200.00,INE523H07AJ6,1000.00,,
937275,0KFL21F     ,1020.05,1020.05,1020.05,1020.05,10.00,2,10200.00,INE403Q07BE1,1000.00,,
935776,0KFL22A     ,1527.00,1527.00,1527.00,1527.00,200.00,2,305400.00,INE403Q07482,1000.00,,
935345,0MFL21      ,1984.80,1984.80,1984.80,1984.80,50.00,1,99240.00,INE414G08272,1000.00,,
936738,0MFL21AA    ,1179.80,1179.80,1170.99,1177.86,50.00,2,58893.00,INE414G07DN6,1000.00,,
936548,0MFL22A     ,1211.15,1211.15,1211.15,1211.15,150.00,1,181672.00,INE414G07CZ2,1000.00,,
936940,0MFL23A     ,1126.00,1126.00,1126.00,1126.00,150.00,1,168900.00,INE414G07EA1,1000.00,,
937413,0MFL23E     ,990.00,990.00,990.00,990.00,100.00,2,99000.00,INE549K07956,1000.00,,
937445,0MFL23VI    ,981.00,981.00,981.00,981.00,133.00,3,130473.00,INE549K07AC0,1000.00,,
936942,0MFL24C     ,1210.00,1210.00,1210.00,1210.00,200.00,4,242000.00,INE414G07EB9,1000.00,,
936492,0MFL26      ,1410.10,1677.00,1410.10,1439.40,337.00,4,485079.00,INE522D07BA4,1000.00,,
936951,0MHFL22     ,1136.00,1136.00,1136.00,1136.00,10.00,1,11360.00,INE360T07041,1000.00,,
936959,0MHFL26     ,1345.00,1345.00,1241.00,1241.00,502.00,12,674898.00,INE360T07082,1000.00,,
936652,0MHIL22     ,1208.00,1209.90,1208.00,1209.90,135.00,3,163317.00,INE652X07084,1000.00,,
937123,0MMFL24B    ,1000.00,1000.00,1000.00,1000.00,70.00,1,70000.00,INE101Q07581,1000.00,,
