Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
950LDTPL23,LODHA DEVELOPERS THANE PRIVATE LIMITED,9.5000,13/07/2023,152.8100,152.8300,16.4200,22310.00,INE014S07012,1000000.00
544NABARD24,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,5.4400,05/02/2024,100.7000,100.7000,5.1500,20000.00,INE261F08CU8,1000000.00
574RECL24,,5.7400,20/06/2024,100.7900,100.7900,5.4400,17500.00,INE020B08DR1,1000000.00
7HDFC22,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,7.0000,19/05/2022,102.8000,102.8000,4.2000,15000.00,INE001A07SM4,1000000.00
514NBARD24,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,5.1400,31/01/2024,99.9500,99.9500,5.1500,15000.00,INE261F08CK9,1000000.00
527NABARD24,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,5.2700,29/04/2024,100.0400,100.0400,5.2500,12500.00,INE261F08DD2,1000000.00
765AXISBANK27,AXIS BANK LIMITED,7.6500,30/01/2027,105.7900,105.7900,6.4000,11800.00,INE238A08468,1000000.00
685NBFAARD31,,6.8500,21/03/2031,101.0500,101.0600,6.8100,10000.00,INE261F08DA8,1000000.00
1015UPCL26,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2026,103.7500,103.7600,9.4000,8460.00,INE540P07335,1000000.00
1000IFL28,,10.0000,30/06/2028,101.0100,101.0100,9.7900,7500.00,INE530B08094,1000.00
0TCFS21,TATA CAPITAL FINANCIAL SERVICES LIMITED,0.0000,27/08/2021,107.0474,107.0500,3.7500,7500.00,INE306N07LW4,1000000.00
675SIKKAPROT26,SIKKA PORTS TERMINALS LIMITED ,6.7500,22/04/2026,101.2200,101.1900,6.4600,7500.00,INE941D07208,1000000.00
853CIAFCL27,CHOLAMANDALAM INVESTMENT AND FIN. CO. LTD,8.5300,30/08/2027,102.4600,102.4600,8.0000,6000.00,INE121A08OF1,1000000.00
8MFAPR31,MUTHOOT FINANCE LIMITED,8.0000,20/04/2031,100.6300,100.6300,7.9400,5963.62,INE414G07FV4,1000.00
54BFL23,BAJAJ FINANCE LIMITED,5.4000,10/04/2023,100.5500,100.5500,5.0900,5000.00,INE296A07RQ3,1000000.00
499REC24,REC LIMITED ,4.9900,31/01/2024,99.2900,99.2900,5.2600,5000.00,INE020B08DJ8,1000000.00
578HDFCNOV25,HOUSING DEVELOPMENT FINANCE CORPORATION LTD ,5.7800,25/11/2025,99.3200,99.3200,5.9400,5000.00,INE001A07ST9,1000000.00
677HDFC21,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,6.7700,28/06/2021,100.4900,100.4900,3.3700,5000.00,INE001A07SF8,1000000.00
827NHA29,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.2700,28/03/2029,107.9600,107.9600,6.9200,4500.00,INE906B07GP0,1000000.00
00HFSL21AA,HDB FINANCIAL SERVICES LIMITED,0.0000,04/06/2021,116.1400,116.1400,5.0000,2700.00,INE756I07CR9,1000000.00
770LHFL31,,7.7000,19/03/2031,105.4000,102.4900,7.3300,2520.00,INE115A08377,1000000.00
700HCFSPL27,,7.0000,12/11/2027,99.6700,99.6700,7.0500,2500.00,INE539K07171,1000000.00
845RELIPORT23,SIKKA PORTS & TERMINALS LIMITED,8.4500,12/06/2023,106.8200,106.8200,4.9500,2500.00,INE941D07133,1000000.00
00RVIPL2211,REDDY VEERANNA INVESTMENTS PRIVATE LIMITED,0.0000,30/09/2022,154.4600,154.4600,15.5000,2153.01,INE0AXE07011,376400.00
935PGCIL2025,POWER GRID CORPORATION OF INDIA LIMITED,9.3500,29/08/2025,113.2000,113.2000,5.7900,2000.00,INE752E07IV6,1000000.00
