tradingsymbol,amc,name,purchase_allowed,redemption_allowed,minimum_purchase_amount,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_redemption_quantity,redemption_quantity_multiplier,dividend_type,scheme_type,plan,settlement_type,last_price,last_price_date
INF179K01KG8,HDFCMutualFund_MF,HDFC Liquid Fund,0,0,5000.0,0.01,1000.0,5.0,0.001,growth,Debt,regular,T1,4020.0875,2021-04-07
INF179K01KL8,HDFCMutualFund_MF,HDFC Liquid Fund,0,0,5000.0,0.01,1000.0,5.0,0.001,payout,Debt,regular,T1,1027.0419,2021-04-07
INF179K01WS8,HDFCMutualFund_MF,HDFC Liquid Fund - Direct Plan,0,0,10000.0,0.01,5000.0,0.001,0.001,payout,Debt,direct,T1,1027.0644,2021-04-07
INF179K01WT6,HDFCMutualFund_MF,HDFC Liquid Fund - Direct Plan,0,0,10000.0,0.01,5000.0,0.001,0.001,growth,Debt,direct,T1,4048.011,2021-04-07
INF179KB1HK0,HDFCMutualFund_MF,HDFC Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,4020.0875,2021-04-07
INF179KB1HL8,HDFCMutualFund_MF,HDFC Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,1027.0419,2021-04-07
INF179KB1HM6,HDFCMutualFund_MF,HDFC Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1027.0419,2021-04-07
INF179KB1HO2,HDFCMutualFund_MF,HDFC Liquid Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,1027.0644,2021-04-07
INF179KB1HP9,HDFCMutualFund_MF,HDFC Liquid Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,direct,T1,4048.011,2021-04-07
INF200K01LZ0,SBIMutualFund_MF,SBI Liquid Fund,0,1,5000.0,1.0,5000.0,1.0,0.001,reinvest,Debt,regular,T1,1051.922,2021-04-08
INF200K01MA1,SBIMutualFund_MF,SBI Liquid Fund,0,1,500.0,1.0,500.0,1.0,0.001,growth,Debt,regular,T1,3205.3133,2021-04-08
INF200K01MC7,SBIMutualFund_MF,SBI Liquid Fund,0,1,5000.0,1.0,5000.0,1.0,0.001,reinvest,Debt,regular,T1,1100.1877,2021-04-08
INF200K01UR8,SBIMutualFund_MF,SBI Liquid Fund - Direct Plan,1,1,5000.0,1.0,5000.0,1.0,0.001,payout,Debt,direct,T1,1052.7746,2021-04-08
